season,week,game_id,team,score,adj_score,game_drives,plays,success_rate,total_epa,exp_epa,adj_epa,pass_rate,pass_over_exp,epa_turnover,penalty_epa,special_epa,fumble_lost,conversion_third,epa_third,conversion_fourth,epa_fourth
2024,1,2024_01_TEN_CHI,TEN,17,16.5,23,67,0.358,-23.1,5,-2.5,60.9,-4.6,-13.3,-2.5,-4.7,1-1,3-14,-16.8,1-2,2.1
2024,1,2024_01_WAS_TB,TB,37,23.9,18,55,0.491,18.2,11.4,11,59,2.1,NA,1.5,4.4,NA,9-13,12.3,NA,NA
2024,1,2024_01_WAS_TB,WAS,20,18.7,18,47,0.447,-1.5,3.6,1,61.4,-2.2,NA,4.9,-6.9,3-0,2-9,-2.1,1-1,2.3
2024,2,2024_02_ATL_PHI,ATL,22,23.6,18,59,0.492,10.2,15.7,9.9,56.9,-8.8,NA,4.3,-0.4,1-0,2-9,-2.4,1-2,0.1
2024,2,2024_02_ATL_PHI,PHI,21,21.3,18,72,0.444,7.6,11.8,10.7,54.3,-4,-0.7,-0.8,0.8,NA,6-13,1.2,2-3,2.2
2024,2,2024_02_BUF_MIA,BUF,31,24.6,20,35,0.486,12.4,6.5,9.5,47.6,-2.2,NA,2.6,-2.5,1-0,3-9,0.3,1-1,4.4
2024,2,2024_02_BUF_MIA,MIA,10,18.3,20,66,0.424,-15.8,11.4,-1,57.9,-16.5,-15.7,-3.4,0.5,NA,7-15,-9.2,1-5,-9.1
2024,2,2024_02_CHI_HOU,CHI,13,16,26,75,0.333,-11.7,9.1,-6.9,74.3,1.4,-5.2,1.1,4.5,NA,6-17,-5.3,1-2,0.6
2024,2,2024_02_CHI_HOU,HOU,19,20.4,26,64,0.328,-3.5,14.7,2.1,65.6,1.9,-5.6,-4.6,7.8,1-1,4-14,-2.5,1-1,3.2
2024,2,2024_02_CIN_KC,CIN,25,23.8,19,66,0.5,4.4,7.2,6.7,68.8,10.8,-6.8,-3.5,2.6,3-1,4-13,-9.2,2-2,9.6
2024,2,2024_02_CIN_KC,KC,26,19.8,19,65,0.462,-0.5,4.5,-0.3,56.2,-6.5,-11.6,1.4,1.7,1-1,1-8,-4.1,2-2,4.2
2024,2,2024_02_CLE_JAX,CLE,18,17.1,19,72,0.389,4.2,13,3.5,58.3,4.8,NA,-0.1,4.8,1-0,2-14,1,3-3,6.6
