latent,pool_n,market,fav_win,push,dog_win,ev_fav,ev_dog,ev_formula_E,side_E,pub_A,pub_B,pub_C
7.25,514,9.5,0.4357976653696498,0.0,0.5642023346303502,-0.16802263883975946,0.07711354793066852,0.02599813924038367,-1,7.5,7.5,7.0
7.75,275,5.5,0.5963636363636363,0.0,0.4036363636363636,0.1385123966942148,-0.2294214876033058,0.15118957046853757,1,8.0,8.0,8.0
7.75,275,6.0,0.5636363636363636,0.03272727272727273,0.4036363636363636,0.10876033057851235,-0.19669421487603306,0.1146827701822098,1,8.0,8.0,8.0
7.75,275,6.5,0.5636363636363636,0.0,0.43636363636363634,0.0760330578512396,-0.1669421487603306,0.07452528986724923,1,8.0,8.0,8.0
7.75,275,7.0,0.48727272727272725,0.07636363636363637,0.43636363636363634,0.006611570247933825,-0.09057851239669426,0.017392034952108896,1,8.0,8.0,8.0
7.75,275,7.5,0.48727272727272725,0.0,0.5127272727272727,-0.06975206611570255,-0.021157024793388483,-0.04545454545454549,1,8.0,8.0,8.0
7.75,275,8.0,0.4690909090909091,0.01818181818181818,0.5127272727272727,-0.08628099173553722,-0.0029752066115702872,-0.015036294503975133,-1,8.0,8.0,8.0
7.75,275,8.5,0.4690909090909091,0.0,0.5309090909090909,-0.1044628099173554,0.013553719008264428,0.0126166609056343,-1,8.0,8.0,8.0
7.75,275,9.0,0.4618181818181818,0.007272727272727273,0.5309090909090909,-0.11107438016528934,0.020826446280991708,0.019626006700026857,-1,8.0,8.0,8.0
7.75,275,9.5,0.4618181818181818,0.0,0.5381818181818182,-0.11834710743801662,0.02743801652892563,0.02599813924038367,-1,8.0,8.0,8.0
7.75,275,10.0,0.43636363636363634,0.025454545454545455,0.5381818181818182,-0.1414876033057852,0.05289256198347106,0.06112210618253238,-1,8.0,8.0,8.0
